timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band
1742715629.9126928,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715630.978695,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,0,0,0,100,0,24,NR N41
1742715632.0453937,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715633.1114776,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715634.177794,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715635.2446876,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,27,0,0,0,100,0,24,NR N41
1742715636.2978268,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,26,0,0,0,100,0,24,NR N41
1742715637.351652,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,24,0,0,0,100,0,24,NR N41
1742715638.4086459,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715639.4636219,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715640.5211625,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715641.5770724,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,25,0,0,0,100,0,24,NR N41
1742715642.6313405,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,25,0,0,0,100,0,24,NR N41
1742715643.6595402,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,25,0,0,0,100,0,24,NR N41
1742715644.715542,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,25,0,0,0,100,0,24,NR N41
1742715645.7669106,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,25,0,0,0,100,0,24,NR N41
1742715646.8214436,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715647.8758397,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,26,0,0,0,100,0,24,NR N41
1742715648.9272804,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,24,0,0,0,100,0,24,NR N41
1742715649.9802883,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,24,0,0,0,100,0,24,NR N41
1742715651.0365639,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,24,0,0,0,100,0,24,NR N41
1742715652.090352,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,25,0,0,0,100,0,24,NR N41
1742715864.8884206,NR5G-SA,NOCONN,TDD,A120C0002,-66,-9,21,0,0,0,100,1,24,NR N41
1742715865.9933276,NR5G-SA,NOCONN,TDD,A120C0002,-66,-9,21,0,0,0,100,0,24,NR N41
1742715867.0797765,NR5G-SA,NOCONN,TDD,A120C0002,-65,-8,18,-13,-81,-1,100,0,24,NR N41
1742715868.1648364,NR5G-SA,NOCONN,TDD,A120C0002,-65,-8,16,-13,-81,-1,100,0,24,NR N41
1742715869.2513134,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,24,-13,-81,-1,100,0,24,NR N41
1742715870.3363626,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,-13,-81,-1,100,0,24,NR N41
1742715871.40968,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,22,-13,-81,-1,100,0,24,NR N41
1742715872.4946363,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,23,-13,-81,-1,100,0,24,NR N41
1742715873.5670319,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,23,-13,-81,-1,100,0,24,NR N41
1742715874.6401534,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,24,NR N41
1742715875.7119038,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,-13,-81,-1,100,0,24,NR N41
1742715876.7975717,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,24,NR N41
1742715877.8702765,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,24,NR N41
1742715878.9390593,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,24,NR N41
1742715880.0104628,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,24,NR N41
1742715881.0833623,NR5G-SA,NOCONN,TDD,A120C0002,-65,-7,22,-13,-81,-1,100,0,24,NR N41
1742715901.4375253,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,-13,-81,-1,100,1,25,NR N41
1742715902.5017254,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,-13,-81,-1,100,0,25,NR N41
1742715903.5519044,NR5G-SA,NOCONN,TDD,A120C0002,-63,-7,26,-13,-81,-1,100,0,25,NR N41
1742715904.6059349,NR5G-SA,NOCONN,TDD,A120C0002,-63,-7,26,-13,-81,-1,100,0,25,NR N41
1742715905.6597784,NR5G-SA,NOCONN,TDD,A120C0002,-63,-7,26,-13,-81,-1,100,0,25,NR N41
1742715906.7115881,NR5G-SA,NOCONN,TDD,A120C0002,-63,-7,26,-13,-81,-1,100,0,25,NR N41
1742715907.767091,NR5G-SA,NOCONN,TDD,A120C0002,-63,-7,24,-13,-81,-1,100,0,25,NR N41
1742715908.8215919,NR5G-SA,NOCONN,TDD,A120C0002,-63,-7,24,-13,-81,-1,100,0,25,NR N41
1742715909.8771868,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,-13,-81,-1,100,0,25,NR N41
1742715910.9318497,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,-13,-81,-1,100,0,25,NR N41
1742715911.9853444,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,-13,-81,-1,100,0,25,NR N41
1742715913.0392628,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,25,NR N41
1742715914.0930908,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,25,-13,-81,-1,100,0,25,NR N41
1742715915.1485093,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,25,NR N41
1742715916.2032378,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,25,NR N41
1742715917.2585547,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,25,NR N41
1742715918.3135777,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,25,NR N41
1742715919.3682792,NR5G-SA,NOCONN,TDD,A120C0002,-64,-7,24,-13,-81,-1,100,0,25,NR N41
